Facility Number,F_NAME,HMIS,Province,District,Division,LOCATION,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation
15,CHARLES NEW ROAD HC,8,NAIROBI,NAIROBI,MAKADARA,MAKADARA,HARAMBEE,DISTRICT ESTIMATES,3,LA,"(-1.28315, 36.87223)"
16,CHRISTIAN MEDICAL AID DISP,,NAIROBI,NAIROBI,,,,,4,MISS,
17,COMMUNITY HEALTH DISP,,NAIROBI,NAIROBI,,,,,4,MISS,
18,CRESCENT MEDICAL AID BIAFRA,2543,NAIROBI,NAIROBI,,,,,4,MISS,
19,CRESCENT MEDICAL AID EASTLEIGH,2615,NAIROBI,NAIROBI,CENTRAL,MATHARE,MLANGO KUBWA,DISTRICT ESTIMATES,4,MISS,"(-1.26114, 36.85221)"
20,CRESCENT MEDICAL AID MUKURU,2662,NAIROBI,NAIROBI,EMBAKASI,MUKURU KWA NJENGA,MUKURU KWA NJENGA,DISTRICT ESTIMATES,4,MISS,"(-1.31415, 36.89223)"
21,CRESENT MEDICAL AID KENYA,2549,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY CENTRE,DISTRICT ESTIMATES,4,MISS,"(-1.28141, 36.83111)"
22,DANDORA 2 HEALTH CENTRE,2550,NAIROBI,NAIROBI,EMBAKASI,DANDORA,DANDORA 'B',GPS,3,LA,"(-1.24474, 36.90223)"
23,DANDORA HEALTH CENTRE,132,NAIROBI,NAIROBI,EMBAKASI,DANDORA,DANDORA 'A',GPS,3,LA,"(-1.25761, 36.88775)"
24,DIS. INVEST. EDC SECT DISP,64,NAIROBI,NAIROBI,,,,,4,MOH,
25,DOYA DISP,2555,NAIROBI,NAIROBI,,,,,4,MOH,
26,EASTLEIGH HEALTH CENTRE,12,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH NORTH,AIRBASE,GPS,3,LA,"(-1.26869, 36.85029)"
27,EASTLEIGH LINES HC,13,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH NORTH,AIRBASE,DISTRICT ESTIMATES,3,LA,"(-1.27223, 36.85121)"
28,EDELVALE HC,14,NAIROBI,NAIROBI,,,,,3,LA,
29,ELIMU MED. DISP,2619,NAIROBI,NAIROBI,,,,,4,MOH,
30,EMBAKASI DISP,15,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI(NAIROBI),GPS,4,LA,"(-1.30795, 36.91262)"
31,FAMILY WELFARE & PLANNING DISP,16,NAIROBI,NAIROBI,,,,,4,LA,
32,FATIMA DISP MISSION,,NAIROBI,NAIROBI,,,,,4,MISS,
33,GETRUDES GARDENS CHILDREN'S HOSPITAL,151,NAIROBI,NAIROBI,WESTLANDS,HIGHRIDGE,MUTHAIGA,WAYUMBA,1,MISS,"(-1.253175, 36.830249)"
34,HIGHRIDGE HC,17,NAIROBI,NAIROBI,WESTLANDS,HIGHRIDGE,HIGHRIDGE,GPS,3,LA,"(-1.25736, 36.81763)"
35,HONO CRESCENT HC,18,NAIROBI,NAIROBI,PUMWANI,BAHATI,KIMATHI(NAIROBI),GPS,3,LA,"(-1.28773, 36.85865)"
36,HURUMA LIONS CLINIC,2678,NAIROBI,NAIROBI,CENTRAL,MATHARE,MLANGO KUBWA,DISTRICT ESTIMATES,3,NGO,"(-1.26111, 36.85214)"
37,HURUMA LIONS CLINIC,19,NAIROBI,NAIROBI,,,,,4,NGO,
38,INDUSTRIAL AREA CHESOI DISP,79,NAIROBI,NAIROBI,,,,,4,LA,
39,INDUSTRIAL AREA LUNGA/L DISP,80,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,VIWANDANI,GPS,4,LA,"(-1.30783, 36.86157)"
40,INDUSTRIAL AREA PRISON HEALTH CENTRE,,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,LANDI MAWE,GPS,3,MOH,"(-1.29805, 36.83661)"
41,INOCULATION CENTRE DISP,81,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY SQUARE,GPS,4,LA,"(-1.28358, 36.82171)"
42,JAMIA CRESCENT MEDICAL AID DISP,21,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY CENTRE,WAYUMBA,4,MISS,"(-1.27776, 36.8205)"
43,JERICHO HEALTH CENTRE,2630,NAIROBI,NAIROBI,MAKADARA,MAKADARA,LUMUMBA,GPS,3,LA,"(-1.28896, 36.87117)"
44,JERUSALEM HEALTH CENTRE,22,NAIROBI,NAIROBI,PUMWANI,BAHATI,UHURU,GPS,3,LA,"(-1.28258, 36.86548)"
45,JINNAH AVENUE HC,23,NAIROBI,NAIROBI,,,,,3,LA,
46,KABETE TECHNICAL AND TRADE DISP,89,NAIROBI,NAIROBI,WESTLANDS,KITISURU,LORESHO,GPS,4,MOH,"(-1.26114, 36.72543)"
47,KABIRO KAWANGWARE DISP,,NAIROBI,NAIROBI,,,,,4,NGO,
48,KAHAWA HEALTH CENTRE,24,NAIROBI,NAIROBI,KASARANI,KAHAWA,KONGO SOWETO,GPS,3,LA,"(-1.18716, 36.91278)"
49,KALOLENI SHC,184,NAIROBI,NAIROBI,MAKADARA,MAKONGENI,KALOLENI(NAIROBI),GPS,3,LA,"(-1.29282, 36.84534)"
50,KAMITI HEALTH CENTRE,136,NAIROBI,NAIROBI,KASARANI,KAHAWA,KAHAWA WEST/JUJA K,GPS,3,MOH,"(-1.1761, 36.89342)"
51,KANGEMI HEALTH CENTRE,137,NAIROBI,NAIROBI,WESTLANDS,KANGEMI,KANGEMI,GPS,3,LA,"(-1.26461, 36.74933)"
52,KAREN HEALTH CENTRE,138,NAIROBI,NAIROBI,KIBERA,KAREN,LENANA,GPS,3,LA,"(-1.32211, 36.70876)"
53,KARIOBANGI CATHOLIC DISP,,NAIROBI,NAIROBI,EMBAKASI,KARIOBANGI SOUTH,KARIOBANGI SOUTH,DISTRICT ESTIMATES,4,MISS,"(-1.26314, 36.88214)"
54,KARIOBANGI CHESIRE HOME DISP,90,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KARIOBANGI NORTH,DISTRICT ESTIMATES,4,MISS,"(-1.25123, 36.88111)"
55,KARIOBANGI HEALTH CENTRE,139,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KARIOBANGI NORTH,GPS,3,LA,"(-1.25174, 36.87978)"
56,KARIOBANGI MCH / FP DISP,2634,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KARIOBANGI NORTH,GPS,4,LA,"(-1.25174, 36.87978)"
57,KARIOKOR DISP,26,NAIROBI,NAIROBI,CENTRAL,KARIOKOR,ZIWANI/KARIOKOR,GPS,4,LA,"(-1.2763, 36.83552)"
58,KASARANI SHC,185,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,GPS,3,LA,"(-1.21821, 36.90139)"
59,KATWEKERA PHC,,NAIROBI,NAIROBI,,,,,3,NGO,
60,KAWANGWARE CATHOLIC DISP,,NAIROBI,NAIROBI,,,,,4,MISS,
61,KAWANGWARE HEALTH CENTRE,2635,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,KAWANGWARE,GPS,3,LA,"(-1.28405, 36.74052)"
62,KAYOLE HEALTH CENTRE,2636,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,KAYOLE,GPS,3,MOH,"(-1.26649, 36.91668)"
63,KENYATTA NATIONAL HOSPITAL,157,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,KENYATTA,GPS,2,MOH,"(-1.300876, 36.806388)"
64,KIBAGARE GOOD NEWS DISP,3127,NAIROBI,NAIROBI,,,,,4,MISS,
65,KIBERA CATHOLIC DISP,96,NAIROBI,NAIROBI,,,,,4,MISS,
66,KIBERA CRESCENT MEDICAL AID DISP,2642,NAIROBI,NAIROBI,,,,,4,MISS,
67,KICC DISP,134,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY SQUARE,GPS,4,MOH,"(-1.28704, 36.8228)"
68,LADY NORTH HEALTH CENTRE,2647,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,KILIMANI(NAIROBI),GPS,3,MOH,"(-1.28551, 36.81064)"
69,LAGOS HC,28,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY CENTRE,GPS,3,LA,"(-1.28012, 36.8231)"
70,LANGATA HEALTH CENTRE,141,NAIROBI,NAIROBI,KIBERA,MUGUMOINI,BOMAS,GPS,3,MOH,"(-1.31814, 36.7783)"
71,LIKONI ROAD SDA DISP,119,NAIROBI,NAIROBI,,,,,4,MISS,
72,LION'S MATHARE DISP,30,NAIROBI,NAIROBI,,,,,4,MOH,
73,LITTLE SISTERS OF ST FRANCIS,3636,NAIROBI,NAIROBI,KASARANI,KASARANI,MWIKI,DISTRICT ESTIMATES,4,MISS,"(-1.23415, 36.92214)"
74,LOCO HEALTH CENTRE,98,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,LANDI MAWE,GPS,3,MOH,"(-1.29131, 36.82667)"
75,LOWER KABETE SHC,186,NAIROBI,NAIROBI,WESTLANDS,KITISURU,KITISURU,GPS,3,LA,"(-1.23768, 36.7447)"
76,LUNGA LUNGA HEALTH CENTRE,3351,NAIROBI,NAIROBI,MAKADARA,VIWANDANI,VIWANDANI,GPS,3,LA,"(-1.30783, 36.86157)"
77,MAKADARA HC,32,NAIROBI,NAIROBI,MAKADARA,MAKADARA,HAMZA,GPS,3,LA,"(-1.29431, 36.87226)"
79,MAKONGENI HC,33,NAIROBI,NAIROBI,MAKADARA,MAKONGENI,MAKONGENI(NAIROBI),GPS,3,LA,"(-1.29394, 36.84754)"
80,MARIA DOMINIQUE DISP,3349,NAIROBI,NAIROBI,,,,,4,MISS,
81,MARIA IMMACULATE DISP(BAHATI),102,NAIROBI,NAIROBI,,,,,4,MISS,
82,MARINGO HC,34,NAIROBI,NAIROBI,MAKADARA,MARINGO,OFAFA MARINGO,GPS,3,LA,"(-1.28894, 36.86451)"
83,MARY IMMACULATE DISP (KILIMANI),103,NAIROBI,NAIROBI,,,,,4,MISS,
84,MATER MISERICORDIAE HOSPITAL,159,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,NAIROBI SOUTH,WAYUMBA,1,MISS,"(-1.305393, 36.833478)"
85,MATHARE NORTH HEALTH CENTRE,2656,NAIROBI,NAIROBI,KASARANI,RUARAKA,UTALII,GPS,3,LA,"(-1.25323, 36.86485)"
86,MATHARE VALLEY DISP,,NAIROBI,NAIROBI,,,,,4,MISS,
87,MATHARI MENTAL HOSPITAL,160,NAIROBI,NAIROBI,CENTRAL,MATHARE,MATHARE,GPS,1,MOH,"(-1.259489, 36.844302)"
88,MBAGATHI DISTRICT HOSPITAL,154,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,GOLF COURSE,GPS,1,MOH,"(-1.307925, 36.802242)"
89,MBOTELA HC,37,NAIROBI,NAIROBI,,,,,3,LA,
90,MILIMANI SDA DISP,2660,NAIROBI,NAIROBI,,,,,4,MISS,
91,MURIRE DISP,2716,NAIROBI,NAIROBI,,,,,4,MOH,
92,MUTHURWA DISP,38,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY CENTRE,GPS,4,LA,"(-1.2834, 36.8332)"
93,NAIROBI EVANGELICAL GRADUATE DISP,107,NAIROBI,NAIROBI,,,,,4,MISS,
94,NAIROBI SOUTH B HEALTH CENTRE,39,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,NAIROBI SOUTH,GPS,3,MOH,"(-1.309483, 36.836938)"
95,NAIROBI WEST SISTERS DISP,3350,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,NAIROBI WEST,DISTRICT ESTIMATES,4,MISS,"(-1.3101, 36.81121)"
96,NGAIRA AVENUE DISP,2670,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY SQUARE,GPS,4,LA,"(-1.28894, 36.82251)"
97,NGARA HEALTH CENTRE,143,NAIROBI,NAIROBI,CENTRAL,NGARA,NGARA EAST,GPS,3,LA,"(-1.27077, 36.83046)"
98,NGONG ROAD SHC,187,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,WOODLEY,GPS,3,LA,"(-1.29896, 36.7576)"
99,NYS HEALTH CENTRE,106,NAIROBI,NAIROBI,KASARANI,RUARAKA,UTALII,GPS,3,MOH,"(-1.24995, 36.86425)"
100,NYS PUBLIC HEALTH,4381,NAIROBI,NAIROBI,KASARANI,RUARAKA,UTALII,GPS,3,MOH,"(-1.24995, 36.86425)"
101,OFAFA JERICHO SHC,188,NAIROBI,NAIROBI,MAKADARA,MAKADARA,LUMUMBA,GPS,3,LA,"(-1.289024, 36.871071)"
102,OFAFA NAIROBI HC,41,NAIROBI,NAIROBI,MAKADARA,MAKADARA,LUMUMBA,GPS,3,LA,"(-1.288752, 36.870483)"
103,P & T MCH DISP,110,NAIROBI,NAIROBI,KASARANI,RUARAKA,MATHARE NORTH,SUBLOC CENTROID,4,MOH,"(-1.247265, 36.872106)"
104,PANGANI HC,42,NAIROBI,NAIROBI,CENTRAL,KARIOKOR,PANGANI,GPS,3,LA,"(-1.26741, 36.83815)"
105,PRECIOUS BLOOD SISTERS DISP,3635,NAIROBI,NAIROBI,,,,,4,MISS,
106,PROVIDE INTERNATIONAL DISP,3590,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,KAYOLE,WAYUMBA,4,NGO,"(-1.268017, 36.911501)"
107,PUMWANI DISP,47,NAIROBI,NAIROBI,PUMWANI,EASTLEIGH NORTH,EASTLEIGH NORTH,GPS,4,LA,"(-1.27777, 36.84565)"
108,REDEEMED GOSPEL CHURCH HEALTH CENTRE,,NAIROBI,NAIROBI,,,,,4,MISS,
109,RHODES AVENUE & CHEST & T. HEALTH CENTRE,48,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY SQUARE,GPS,3,LA,"(-1.28894, 36.82251)"
110,RIRUTA CATHOLIC DISP,117,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,KAWANGWARE,1:50000 MAPS,4,MISS,"(-1.27883, 36.73649)"
111,RIRUTA HEALTH CENTRE,144,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,KAWANGWARE,GPS,3,LA,"(-1.28405, 36.74052)"
112,RUARAKA HC,49,NAIROBI,NAIROBI,,,,,3,LA,
113,SANDFORD ROAD DISP,50,NAIROBI,NAIROBI,,,,,4,LA,
114,SDA DISP KIBERA,,NAIROBI,NAIROBI,,,,,4,MISS,
115,SHAURI MOYO DISP,51,NAIROBI,NAIROBI,PUMWANI,KAMUKUNJI,SHAURI MOYO,GPS,4,LA,"(-1.28729, 36.84511)"
116,SHAURI MOYO SDA DISP NAIROBI,120,NAIROBI,NAIROBI,PUMWANI,KAMUKUNJI,SHAURI MOYO,DISTRICT ESTIMATES,4,MISS,"(-1.29, 36.85)"
117,SISTERS OF MERCY MAKADARA,101,NAIROBI,NAIROBI,,,,,4,MISS,
118,SOWETO/KAYOLE DISP,3352,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,KAYOLE,GPS,4,LA,"(-1.26916, 36.91808)"
119,SPECIAL STD DISP,122,NAIROBI,NAIROBI,CENTRAL,STAREHE,CITY CENTRE,GPS,4,MOH,"(-1.27904, 36.82471)"
120,ST JOHN'S MCH/FP DISP,3359,NAIROBI,NAIROBI,,,,,4,MISS,
121,ST. JOSEPH MUKASA,,NAIROBI,NAIROBI,,,,,4,MISS,
122,ST. JOSEPH THE WORKER DISP,3111,NAIROBI,NAIROBI,,,,,4,MISS,
123,ST. ODILLIAS DISP,2691,NAIROBI,NAIROBI,,,,,4,MISS,
124,STATE HOUSE DISP,124,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,KILIMANI(NAIROBI),GPS,4,MOH,"(-1.28435, 36.79915)"
125,STATE HOUSE ROAD DISP,53,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,KILIMANI(NAIROBI),GPS,4,LA,"(-1.27623, 36.80337)"
126,UHURU AP CAMP DISP,3333,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,KENYATTA,GPS,4,MOH,"(-1.29582, 36.80617)"
127,ULINZI HOUSE MIR DISP,99,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,KILIMANI(NAIROBI),GPS,4,MOH,"(-1.28994, 36.79868)"
128,UMOJA HEALTH CENTRE,145,NAIROBI,NAIROBI,EMBAKASI,UMOJA,UMOJA,GPS,3,LA,"(-1.27931, 36.88726)"
129,UNDUGU SOCIETY DISP,,NAIROBI,NAIROBI,,,,,4,NGO,
130,UTALII COLLEGE DISP,2641,NAIROBI,NAIROBI,KASARANI,RUARAKA,UTALII,GPS,4,MOH,"(-1.25503, 36.85362)"
131,UZIMA DISP,129,NAIROBI,NAIROBI,,,,,4,MISS,
132,WAITHAKA HEALTH CENTRE,147,NAIROBI,NAIROBI,DAGORETTI,WAITHAKA,WAITHAKA,GPS,3,LA,"(-1.27885, 36.71516)"
134,WESTLANDS DISP,130,NAIROBI,NAIROBI,,,,,4,MISS,
133,WESTLANDS DISP,54,NAIROBI,NAIROBI,WESTLANDS,PARKLANDS,UPPER PARKLANDS,GPS,4,LA,"(-1.25851, 36.79847)"
135,WESTLANDS HEALTH CENTRE,148,NAIROBI,NAIROBI,WESTLANDS,PARKLANDS,UPPER PARKLANDS,GPS,3,LA,"(-1.260665, 36.801751)"
136,WILSON AIRPORT DISP,3337,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,NAIROBI WEST,GPS,4,MOH,"(-1.30921, 36.80738)"
137,WOODLEY DISP,55,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,WOODLEY,GPS,4,LA,"(-1.30227, 36.77706)"
1,ABIDHA HC,1343,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA MWALO,GPS,3,MOH,"(-0.15902, 34.41064)"
2,ANYUONGI DISP,,NYANZA,BONDO,BONDO,SOUTH SAKWA,EAST MIGWENA,GPS,4,MOH,"(-0.17618, 34.27613)"
3,ARO COMMUNITY HOSP.,,NYANZA,BONDO,BONDO,NORTH SAKWA,BAR CHANDO,GPS,1,NGO,"(-0.06953, 34.35579)"
4,BONDO DISTRICT HOSPITAL,1367,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITA(BONDO),GPS,1,MOH,"(-0.09021, 34.2745)"
5,GOBEI DISP,2467,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,NYAWITA(BONDO),GPS,4,MOH,"(-0.09021, 34.2905)"
6,GOT AGULU HEALTH CENTRE,1346,NYANZA,BONDO,USIGU,WEST YIMBO,GOT AGULU,GPS,3,MOH,"(-0.0341, 34.0248)"
7,GOT MATAR DISP,1347,NYANZA,BONDO,USIGU,NORTH YIMBO,NYAMONYE,GPS,4,MOH,"(-0.0309, 34.1315)"
8,KAGWA DISP,2649,NYANZA,BONDO,MADIANY,WEST UYOMA,KAGWA(BONDO),GPS,4,MOH,"(-0.22851, 34.25665)"
9,KAGWA SDA HC,,NYANZA,BONDO,MADIANY,WEST UYOMA,KAGWA(BONDO),GPS,3,MISS,"(-0.22469, 34.25637)"
10,KAPIYO DISP,4250,NYANZA,BONDO,BONDO,S.W. SAKWA,UTONGA,GPS,4,MOH,"(-0.08601, 34.17491)"
11,MADIANY HEALTH CENTRE,1368,NYANZA,BONDO,MADIANY,EAST UYOMA,WEST KATWENG'A,GPS,3,MOH,"(-0.28134, 34.3224)"
12,MAGETA DISP,165,NYANZA,BONDO,USIGU,MAGETA ISLAND,MAHANGA(BONDO),GPS,4,MOH,"(-0.1325, 34.0103)"
13,MAHAYA DISP,,NYANZA,BONDO,RARIEDA,WEST  ASEMBO,MAHAYA,GPS,4,MOH,"(-0.16223, 34.34066)"
14,MANGA BAPTIST CLINIC DISP,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NDIGWA,GPS,4,MISS,"(-0.3353, 34.3252)"
15,MANYUANDA HEALTH CENTRE,1350,NYANZA,BONDO,MADIANY,WEST UYOMA,KOKWIRI,GPS,3,MOH,"(-0.25252, 34.27609)"
16,MASALA DISP,3839,NYANZA,BONDO,MADIANY,CENTRAL UYOMA,MASALA,GPS,4,MOH,"(-0.20811, 34.292727)"
17,MISORI DISP,4251,NYANZA,BONDO,MADIANY,WEST UYOMA,NYABERA(BONDO),GPS,4,MOH,"(-0.31856, 34.278)"
18,NAYA DISP,1353,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,GPS,4,MOH,"(-0.36255, 34.3121)"
19,NDORI DISP,3569,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,RAMBA NORTH,GPS,4,MISS,"(-0.06975, 34.37752)"
20,NYAGOKO DISP,35,NYANZA,BONDO,RARIEDA,SOUTH ASEMBO,NYAGOKO,GPS,4,MOH,"(-0.17535, 34.29557)"
21,NYANGUNDA SELF HELP DISP,,NYANZA,BONDO,BONDO,SOUTH SAKWA,NYAGUDA,GPS,4,NGO,"(-0.21243, 34.21883)"
,OBAGA DISP,,NYANZA,BONDO,RARIEDA,SOUTH ASEMBO,,,4,MOH,
22,ONGIELO DISP,1357,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA MALO,GPS,4,MOH,"(-0.16875, 34.377777)"
,PAP KODERO,,NYANZA,BONDO,MADIANY,WEST UYOMA,,,4,MOH,
23,SARADIDI HEALTH CENTRE,1385,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,MEMBA,GPS,3,MOH,"(-0.11288, 34.39692)"
24,ST. CAMILUS DISPENSARY,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,GPS,4,MISS,"(-0.382719, 34.284311)"
25,ST. ELIZABETH LWAK MISS. HOSPITAL,,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,MEMBA,GPS,1,MISS,"(-0.13782, 34.35698)"
26,ST.ANNE NYANGOMA DISP AND MCH,2554,NYANZA,BONDO,BONDO,CENTRAL SAKWA,NYANG'OMA,GPS,4,MISS,"(-0.15277, 34.19813)"
27,ULUNGO DISP,4480,NYANZA,BONDO,USIGU,NORTH YIMBO,BAR KANYANGO,GPS,4,MOH,"(0.01815, 34.10807)"
28,USIGU DISP,1365,NYANZA,BONDO,USIGU,CENTRAL YIMBO,USIGU,GPS,4,MOH,"(-0.0568, 34.0994)"
29,UYAWI DISP,1366,NYANZA,BONDO,BONDO,CENTRAL SAKWA,UYAWI,GPS,4,MOH,"(-0.16139, 34.16597)"
1,BOIGE DISP,4490,NYANZA,GUCHA,NYAMARAMBE,NYAKEMBENE,NYAKORERE,GPS,4,MOH,"(-0.83089, 34.66809)"
2,CHIENGU SDA DISP,,NYANZA,GUCHA,NYACHEKI,RIGENA,NYANTIRA,GPS,4,MISS,"(-0.88272, 34.81434)"
3,EBEREGE DISP,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MOKUBO,GPS,4,MOH,"(-0.9121, 34.72132)"
,EGETONTO DISP,,NYANZA,GUCHA,OGEMBO,MACHOGECHACHE,,,4,MOH,
4,ETAGO DISP,1232,NYANZA,GUCHA,ETAGO,GETENGA,NYARAMBA(GUCHA),GPS,4,MOH,"(-0.902367, 34.6593)"
5,GESABAKWA DISP,3768,NYANZA,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYANGUSO,GPS,4,MOH,"(-0.89926, 34.82809)"
6,KENYENYA HC,1238,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,KENYENYA,GPS,3,MOH,"(-0.886333, 34.7289)"
7,KENYENYA SDA DISP,1489,NYANZA,GUCHA,OGEMBO,SENGERA,BOSOTI,1:50000 MAPS,4,MISS,"(-0.88964, 34.725225)"
46,KENYERERE  DISP,4762,NYANZA,GUCHA,SAMETA,MOKWERERO,KENYERERE,GPS,4,MOH,"(-0.782267, 34.7811)"
8,KIONYO DISP,3570,NYANZA,GUCHA,NYAMACHE,BASSI MASIGE EAST,TURWA,GPS,4,MOH,"(-0.814067, 34.7763)"
9,MAGENA DISP,1241,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,KIANGO,GPS,4,MOH,"(-0.90464, 34.7966)"
10,MAGENCHE DISP,1242,NYANZA,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,GPS,4,MOH,"(-0.94649, 34.72318)"
11,MAKARA BAPTIST M. CENTRE,,NYANZA,GUCHA,ETAGO,GETENGA,NYARAMBA(GUCHA),GPS,4,MISS,"(-0.88877, 34.65434)"
12,METABURO DISP,4763,NYANZA,GUCHA,ETAGO,GETENGA,NYARAMBA(GUCHA),GPS,4,MISS,"(-0.901017, 34.648)"
13,MISESI DISP,3770,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,MISESI,GPS,4,MOH,"(-0.74101, 34.68447)"
14,MONIANKU HEALTH CENTRE,1243,NYANZA,GUCHA,ETAGO,S. MUGIRANGO BORABU,MONIANKU,GPS,3,MISS,"(-0.967, 34.6828)"
15,MOTICHO DISP,3287,NYANZA,GUCHA,ETAGO,GETENGA,NYABERA(GUCHA),GPS,4,MOH,"(-0.886617, 34.6315)"
16,NDURU HEALTH CENTRE,1271,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CENTRAL,BOMONYAMA,GPS,3,MOH,"(-0.80782, 34.62814)"
17,NYACHEKI HEALTH CENTRE,1246,NYANZA,GUCHA,NYACHEKI,BASSI BORABU,ISENA,GPS,3,MOH,"(-0.89071, 34.8772)"
18,NYAKEYO S.D.A DISP,4818,NYANZA,GUCHA,ETAGO,GETENGA,NYATARO,GPS,4,MISS,"(-0.86685, 34.64843)"
19,NYAMACHE HEALTH CENTRE,1259,NYANZA,GUCHA,NYAMACHE,BASSI CENTRAL,NYOERA,GPS,3,MOH,"(-0.85352, 34.82805)"
20,NYAMAGWA HEALTH CENTRE,1260,NYANZA,GUCHA,SAMETA,BASSI BOINTANGARE,NYAMAGWA(GUCHA),GPS,3,MISS,"(-0.79123, 34.80025)"
21,NYANSAKIA DISP,3571,NYANZA,GUCHA,SAMETA,BASSI CHACHE,BOGETAORIO,GPS,4,MOH,"(-0.75958, 34.74936)"
22,NYATIKE DISP,3381,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,BOMONYARA,GPS,4,MOH,"(-0.74203, 34.63857)"
23,OGEMBO DISTRICT HOSPITAL,1261,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,1,MOH,"(-0.793983, 34.725517)"
24,OMOREMBE HEALTH CENTRE,169,NYANZA,GUCHA,OGEMBO,SENGERA,NYAISERO,GPS,3,MISS,"(-0.84779, 34.72154)"
25,RIOKINDO SDA HEALTH CENTRE,3015,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,KENYENYA,GPS,3,MISS,"(-0.88487, 34.7322)"
26,RITUMBE HEALTH CENTRE,1252,NYANZA,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYANGUSO,GPS,3,MISS,"(-0.91962, 34.84671)"
27,STELA MARIS SENGERA HEALTH CENTRE,1263,NYANZA,GUCHA,OGEMBO,SENGERA,BOSOTI,GPS,3,MISS,"(-0.86201, 34.71967)"
28,TABAKA MISSION HOSPITAL,1266,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,GPS,1,MISS,"(-0.744517, 34.6665)"
1,ASUMBI MISS H C,1438,NYANZA,HOMA BAY,RANGWE,GEM CENTRAL,KAJULU,HD MAPS,3,MISS,"(-0.625835, 34.6296)"
2,FULL GOSPEL DISP,,NYANZA,HOMA BAY,ASEGO,EAST KANYADA,KOBWOLA-KOGWANG,HD MAPS,4,MISS,"(-0.52066, 34.49)"
3,GOT KOJOWI H C,385,NYANZA,HOMA BAY,NYARONGI,EAST KWAMBWAI,KAWANGA,HD MAPS,3,MOH,"(-0.752199, 34.2553)"
